"Error.rad"	"Maze"	"Learn"
"1"	-0.195565864974229	"0"	9
"2"	0.0117386767852075	"0"	13
"3"	-0.0670169326152576	"0"	9
"4"	-0.024218616706962	"0"	10
"5"	0.334085044816627	"0"	9
"6"	-0.2406522617481	"0"	15
"7"	-0.0713987802399024	"0"	9
"8"	-0.111374926302108	"0"	15
"9"	-0.25282470001358	"0"	10
"10"	-0.255359057524779	"0"	10
"11"	-0.370599945296838	"1"	18
"12"	-0.901021368747418	"1"	14
"13"	-0.276515654782528	"1"	12
"14"	-0.580400574370718	"1"	9
"15"	0.067767848037499	"1"	10
"16"	-0.0510132388749808	"1"	17
"17"	-0.279209834426301	"1"	15
"18"	0.157827674910104	"1"	21
"19"	-1.16634443877711	"1"	16
"20"	0.380511222549111	"1"	13
