"count"	"b7a"	"b7b"
1	0	3.141593
2	5.97079	2.451493
3	5.267623	2.234478
4	3.524396	2.081205
5	1.864557	4.723317
6	1.142444	4.487086
7	3.910654	3.596253
8	1.657342	4.489001
9	3.470021	4.599011
10	5.993623	5.310115
11	5.859491	5.548157
12	0.344589	5.63291
13	4.151666	0.766813
14	0.519795	1.546193
15	0.562907	0.749141
16	1.41654	1.350297
17	1.29382	3.229855
18	2.018684	4.156292
19	4.867847	4.581714
20	6.159449	3.455131
21	6.023409	1.124802
22	1.613894	0.804339
23	4.740232	1.797597
24	4.472427	0.717081
25	4.784924	2.165488
26	2.0609	0.446398
27	4.656488	1.321065
28	1.711096	4.461196
29	5.271466	5.127718
30	0.5882	3.010542
31	3.355098	1.507377
32	2.615653	3.399016
33	0.474461	1.124378
34	2.877823	1.541813
35	2.235921	0.537836
36	2.742368	0.185107
37	2.869187	1.482659
38	3.350722	3.114284
39	5.416777	2.889909
40	1.222615	3.095193
41	1.609876	4.289297
42	2.79407	1.818435
43	1.441073	1.153764
44	0.364096	6.051141
45	5.0328	4.090021
46	4.7944	4.297847
47	4.656101	4.081739
48	2.392005	4.184335
49	2.504335	5.22304
50	2.467169	5.079021
51	3.08423	4.007681
52	3.255153	4.629653
53	3.271535	3.296304
54	3.187341	3.258393
55	2.829442	5.58581
56	3.316299	4.932594
57	2.595759	4.512866
58	2.07011	2.886043
59	2.366854	3.845329
60	3.183177	3.686148
61	2.987685	2.167085
62	2.955478	3.857693
63	2.732347	3.729258
64	2.699627	3.22347
65	2.183073	2.962528
66	2.701095	3.821728
67	2.752176	4.095245
68	3.238582	3.848913
69	4.471572	3.85833
70	3.016792	4.01715
71	4.180214	3.794618
72	3.784029	4.070972
73	4.027604	4.072538
74	4.346937	3.206157
75	4.090907	3.585648
76	4.818986	4.053278
77	3.595051	3.500803
78	3.687496	4.223428
79	4.055078	4.012201
80	3.705854	4.830693
81	4.114181	4.817333
82	3.596146	2.840851
83	4.071617	3.191429
84	4.149574	3.605694
85	3.787147	3.515985
86	3.391772	3.850512
87	3.404161	3.903776
88	3.043402	3.854372
89	3.057556	4.055407
90	2.711334	4.251514
91	2.921001	3.967265
92	2.586266	4.210085
93	2.502827	4.018239
94	2.937086	4.059835
95	3.380712	2.001936
96	3.271614	3.590999
97	3.186194	3.097627
98	2.923426	3.720943
99	2.981956	3.296046
100	2.627332	3.177728
101	2.736521	3.022905
102	3.337612	2.377067
103	3.307147	4.362587
104	4.328044	4.503108
105	3.902405	4.462931
106	4.123771	5.071839
107	4.488138	3.676027
108	3.536589	3.758755
109	3.191524	4.672678
110	2.900347	4.731458
111	3.763873	5.10452
112	3.478856	2.554505
113	3.270901	2.430979
114	3.04869	2.860968
115	3.565243	4.950587
116	3.623061	4.7535
117	3.531611	1.955801
118	3.475602	4.215363
119	3.291495	4.819608
120	3.532218	4.542954
121	2.929647	2.969904
122	3.484026	5.218499
123	3.332968	2.312157
124	2.917211	5.260988
125	2.812847	0.147087
126	2.747646	5.337731
127	2.913551	2.762025
128	2.298636	3.109806
129	2.359576	3.840912
130	2.166788	3.898637
131	2.255625	3.791732
132	2.379714	3.687677
133	2.27123	3.529121
134	2.433078	4.451884
135	2.563397	4.079434
136	2.99586	3.878519
137	2.374298	2.872955
138	3.899261	3.143186
139	3.537056	3.521329
140	3.203438	2.934498
141	3.322335	3.110009
142	3.74669	2.833072
143	3.052943	3.069904
144	3.511768	2.871952
145	3.826722	3.281709
146	3.998188	3.905289
147	4.383604	3.369258
148	3.687078	3.702656
149	4.041114	3.370028
150	3.978112	2.297948
151	3.832277	3.088276
152	4.067473	2.925467
153	3.509468	2.809006
154	3.314996	2.786791
155	3.115039	2.988844
156	2.987286	2.96078
157	2.751953	2.749106
158	0.645352	2.73262
159	0.557627	3.139628
160	1.898947	3.296034
161	0.983521	3.233657
162	1.281735	2.949089
163	1.975025	3.581108
164	1.727561	3.780474
165	2.074143	3.143607
166	1.773005	3.425464
167	1.662295	3.905602
168	0.736524	3.964185
169	0.766354	3.868025
170	1.270057	3.007398
171	1.867995	3.600747
172	2.704815	3.350217
173	3.096878	3.857563
174	3.303248	3.728332
175	3.149347	3.935793
176	2.695823	4.493165
177	2.961826	4.214193
178	2.760684	4.085951
179	2.465862	3.900006
180	2.310667	5.84491
181	1.720235	2.232896
182	1.78462	3.093921
183	1.767559	3.299818
184	2.329287	3.471445
185	3.74532	2.494246
186	3.519429	2.58247
187	2.046119	4.132074
188	4.627162	4.059011
189	5.447441	2.593701
190	0.373097	2.996202
191	5.044372	4.296959
192	5.816691	3.086023
193	5.72152	3.620634
194	5.477353	3.148671
195	1.598134	3.53249
196	2.107247	3.242038
197	1.225352	4.303801
198	0.097904	4.17699
199	0.820264	4.461812
200	1.071192	4.468745
201	2.131697	4.273293
202	3.267983	3.379572
203	4.007584	3.569137
204	2.294014	4.526784
205	6.147357	3.826393
206	0.512065	4.320282
207	5.793025	3.868786
208	1.66787	3.539481
209	5.089346	3.045193
210	4.755152	2.911531
211	4.938052	3.284315
212	4.586574	3.475615
213	1.887977	4.003095
214	0.346181	4.31761
215	0.879491	4.078848
216	3.327643	3.07029
217	2.781077	3.536063
218	2.489216	3.398989
219	4.092257	3.567587
220	4.063768	3.143974
221	5.158098	3.201315
222	5.173222	3.450441
223	4.32588	3.499274
224	4.856547	3.843277
225	4.945435	3.784107
226	2.356669	3.251897
227	4.304973	3.474198
228	4.095506	3.615775
229	4.10524	3.420586
230	4.189609	3.558909
231	0.083225	3.485096
232	5.662688	4.01507
233	6.016943	3.805439
234	2.699975	4.024013
235	4.784245	3.869598
236	3.434442	3.490794
237	5.362802	3.11854
238	3.897228	2.767458
239	4.933602	4.092257
240	3.601591	3.287423
241	4.040442	3.527773
242	5.551792	3.724828
243	4.989189	3.403448
244	4.924239	3.292237
245	3.818497	2.802612
246	3.13511	3.291304
247	4.761233	3.373667
248	5.148475	3.165833
249	5.175391	3.092844
250	0.109747	3.642255
251	0.047538	3.53113
252	6.214731	3.544089
253	0.097461	3.750731
254	0.434955	2.506197
255	4.83731	3.391881
256	4.160168	3.477809
257	3.26382	4.410111
258	6.270331	4.897006
259	3.118306	4.742147
260	2.573982	3.623961
261	0.605138	3.318913
262	0.438985	5.119232
263	1.221967	3.128994
264	0.808795	2.29545
265	1.645278	3.619046
266	5.474688	3.21039
267	5.437982	3.514519
268	5.226681	3.814105
