"count"	"b2a"	"b2b"
1	0	3.141593
2	-2.350879	1.212584
3	2.636023	1.02078
4	-1.566836	1.136391
5	-1.591506	-3.597186
6	0.141575	0.124395
7	-0.680115	3.709801
8	-1.054482	-2.5219
9	-6.115074	-1.465569
10	-6.444757	-1.756317
11	-6.018823	-4.823263
12	-5.588328	-0.6983
13	-6.528954	-0.648945
14	-7.279204	2.711682
15	-6.325437	-2.093875
16	-6.287457	2.115105
17	-6.50792	0.343459
18	-6.004573	0.418674
19	-6.508363	0.496585
20	-6.176863	0.10239
21	-6.868153	1.180802
22	-6.822738	-0.633753
23	-6.188477	-0.048352
24	-6.852545	-0.885921
25	-6.5781	4.530437
26	-6.500451	4.563345
27	-6.579424	4.702714
28	-6.234295	4.659825
29	-6.558471	4.778134
30	-6.479113	4.377479
31	-6.09026	3.789948
32	-6.158486	4.149943
33	-6.532222	4.233082
34	-6.587037	3.732701
35	-6.661116	3.575925
36	-6.690719	3.210605
37	-7.071993	3.862756
38	-6.836683	4.045048
39	-7.317047	4.591078
40	-7.103214	4.796415
41	-7.283467	4.319917
42	-2.770667	4.431354
43	-2.033706	5.013806
44	-2.160274	4.780038
45	-2.354778	4.793791
46	-2.083127	4.817579
47	-2.10424	4.664459
48	-2.253242	3.406195
49	-3.068491	4.685715
50	2.469373	4.707303
51	1.969022	5.158737
52	0.621184	6.409085
53	1.545098	8.507456
54	1.484247	8.451294
55	-0.041572	7.089222
56	-0.360752	8.17766
57	-0.158625	9.535604
58	0.027538	7.493568
59	0.11046	7.942228
60	0.018738	8.017544
61	0.434765	-2.6484
62	0.54727	-6.64336
63	0.0543	-6.74863
64	0.149725	-6.208697
65	1.348421	-6.07548
66	-0.249813	-6.297034
67	0.019406	-6.68848
68	-0.270635	-6.499411
69	0.498247	-6.951958
70	-0.060266	-6.355481
71	-0.173436	-6.775023
72	0.399577	-7.058987
73	-0.307091	-6.654517
74	-0.236391	-6.95932
75	0.785832	-5.76417
76	0.502937	-6.642179
77	0.524222	-6.346566
78	-0.047911	-5.87613
79	0.117953	-5.818721
80	0.222597	-4.946098
81	-0.01437	-6.146036
82	-0.116709	-6.122103
83	0.166437	-6.213939
84	0.049216	0.581104
85	-0.038676	1.386569
86	0.133831	1.178543
87	1.450615	-0.735596
88	-0.066597	1.661907
89	0.197186	1.576201
90	0.211611	-0.123575
91	0.938737	-1.053882
92	0.456987	0.998428
93	0.747321	1.072383
94	0.792159	1.405257
95	0.493048	0.553092
96	0.145417	0.47258
97	0.891641	-0.116822
98	0.239363	0.12703
99	0.220829	0.134427
100	0.08015	0.188543
101	-0.068703	-0.015444
102	-0.102614	0.006228
103	0.338148	0.915052
104	0.900188	0.918126
105	0.444954	-0.088981
106	0.236413	-0.148613
107	0.493868	0.135887
108	-0.077376	-0.077861
109	-0.166147	1.156318
110	-0.035926	0.082159
111	0.188557	1.083159
112	1.040038	0.940725
113	0.511999	0.825189
114	0.003408	-0.482502
115	0.484886	1.394494
116	0.390204	-0.023018
117	0.176923	0.608736
118	0.31534	0.292966
119	-0.24108	0.733161
120	0.68622	0.591308
121	0.558275	0.510342
122	0.776975	0.965799
123	0.473007	1.181626
124	0.733871	0.237608
125	0.002454	0.870384
126	1.242558	0.395415
127	0.934903	0.820837
128	0.377577	0.894197
129	0.716542	0.804956
130	0.774116	-0.183302
131	-0.057064	1.402236
132	-0.046804	1.446598
133	0.217802	0.893105
134	0.047479	0.234929
135	0.4888	-0.226406
136	0.170445	0.125838
137	0.255452	-0.834898
138	-0.114615	0.611536
139	0.004878	-0.514062
140	0.444438	-0.177051
141	0.849695	0.0469
142	0.799012	0.292312
143	0.690333	1.435509
144	0.770527	1.012871
145	-0.222472	0.841663
146	0.364757	0.144296
147	0.269426	-0.096946
148	-0.079458	0.573265
149	-0.062539	0.625357
150	0.052833	0.985246
151	0.489892	0.904196
152	0.695262	0.727869
153	-0.163186	0.803514
154	-0.17078	0.08399
155	0.737404	1.134275
156	-0.280475	0.706255
157	0.634512	1.066548
158	0.390351	0.951582
159	-0.090223	0.12004
160	0.15035	0.506732
161	0.00208	-0.193289
162	-0.014241	-0.268809
163	-0.101505	-0.289579
164	0.06446	0.696015
