"count"	"b2a"	"b2b"
1	0	3.141593
2	-4.832822	-18.99306
3	-5.354346	-18.407456
4	-4.789932	-0.319738
5	8.064197	-6.599006
6	11.865437	-0.708299
7	-1.244279	-6.05846
8	8.523168	-3.170851
9	10.085439	-3.434346
10	-1.999573	-3.206633
11	1.958305	0.400661
12	-9.224711	1.293082
13	12.74796	0.912119
14	-4.341771	0.837195
15	1.028641	0.942852
16	1.766613	1.550544
17	0.469485	0.825713
18	0.633745	0.83307
19	0.45601	0.813258
20	0.542991	0.812832
21	1.346119	1.078563
22	1.297904	0.749253
23	0.970968	0.863726
24	1.161829	1.192075
25	1.238238	1.019796
26	0.797309	1.073374
27	1.202877	1.275442
28	1.042956	0.903004
29	0.905279	1.085586
30	1.336166	1.055954
31	0.734033	1.032659
32	0.729585	1.02605
33	0.769259	1.018042
34	0.973326	1.109264
35	1.02631	0.925119
36	0.94715	0.795984
37	0.894851	0.886862
38	0.79945	0.793766
39	1.076389	1.42906
40	0.978784	0.713693
41	0.826228	1.063483
42	1.101707	1.027992
43	1.007445	1.238507
44	1.142183	1.048709
45	0.869104	1.118002
46	0.87829	1.136421
47	1.22855	0.866637
48	1.043249	0.698969
49	0.934107	0.684725
50	0.9734	0.853799
51	1.013502	0.975488
52	1.201202	0.705804
53	0.862977	0.752395
54	1.101081	0.902629
55	1.07588	1.043347
56	0.969067	1.189906
57	1.052877	1.159291
58	1.093548	0.943239
59	0.823752	1.278454
60	1.0709	1.066978
61	0.883082	1.093354
62	1.069023	1.093468
63	0.642911	0.789581
64	0.795094	1.049209
65	1.211105	1.155612
66	1.095301	0.780462
67	0.951232	0.614645
68	0.690817	0.581795
69	1.040695	1.406173
70	1.177293	1.349845
71	0.544249	0.983345
72	0.670581	1.143717
73	1.006065	1.137991
74	0.90813	1.017545
75	1.060566	1.367362
76	0.83563	1.261428
77	0.746515	1.400053
78	0.883409	1.392934
79	1.225103	1.279129
80	1.170662	0.875688
81	1.081264	0.850377
82	0.929637	1.074182
83	0.819584	0.938439
84	1.033134	0.99008
85	1.01944	1.122253
86	1.116991	0.750014
87	1.048609	1.120362
88	0.997074	0.894223
89	0.806881	1.075713
90	0.978593	1.282318
91	1.034928	1.039998
92	0.95447	0.807993
93	0.979769	0.989448
94	1.079463	0.78275
95	1.154728	1.00591
96	0.829736	1.009753
97	1.179676	1.020357
98	1.183971	1.036991
99	0.528131	0.872061
100	0.969552	0.925442
101	0.868037	0.998838
102	1.069025	1.08921
103	1.126637	1.011782
104	1.14485	1.014576
105	1.252868	1.086539
106	0.903869	0.829552
107	0.875082	0.969445
108	1.090136	1.175101
109	1.041223	0.862333
110	0.969649	1.244318
111	1.225979	1.365996
112	1.07764	1.083439
113	1.115772	1.089131
114	0.893675	0.853751
115	1.11826	0.986517
116	1.068955	1.112619
117	0.954679	1.021848
118	0.961122	1.043189
119	1.009195	0.931089
120	1.146781	0.98494
121	1.168041	1.067652
122	0.89399	0.893704
123	0.981614	1.060582
124	1.066769	1.219398
125	1.048817	1.179114
126	0.92631	1.219198
127	1.140963	0.833422
128	1.045721	0.955673
129	1.051603	0.909214
