"count"	"b2a"	"b2b"
1	0	3.141593
2	-2.243021	8.867307
3	-2.024839	5.811651
4	-2.104712	5.576154
5	-2.246782	5.579282
6	-1.699585	5.541519
7	-3.102488	5.120172
8	-1.972675	5.237903
9	-1.494952	5.174973
10	-1.772768	5.367293
11	-5.618082	4.868461
12	-10.157495	4.831236
13	-3.468468	5.350943
14	4.82089	-0.724932
15	1.343934	-0.217158
16	0.685296	-0.148921
17	0.868081	-0.07043
18	0.186385	0.535434
19	0.263199	0.248585
20	0.496666	0.687094
21	0.885491	0.530723
22	0.640421	0.554674
23	0.718232	-0.017633
24	0.581715	0.935776
25	0.497616	0.228627
26	0.734029	1.207309
27	0.594975	0.43534
28	0.60997	0.442286
29	0.875977	0.402362
30	0.793023	0.339478
31	0.476673	0.787417
32	0.465234	0.798974
33	0.546724	1.094012
34	0.541165	0.642028
35	0.362348	0.049135
36	0.427285	0.153974
37	0.366994	0.663982
38	0.400538	0.426957
39	0.519948	0.489396
40	0.369022	0.722391
41	0.442373	0.792948
42	0.487622	0.591241
43	0.395749	0.940838
44	0.138921	0.786029
45	0.425883	0.857203
46	0.366437	0.739415
47	0.400225	0.383451
48	0.484174	0.428768
49	0.701574	0.370306
50	0.655369	0.29497
51	0.338239	0.240363
52	0.57258	0.374128
53	0.602177	0.377168
54	0.78557	0.969296
55	0.884162	0.075956
56	0.709649	0.917122
57	0.68265	0.941941
58	0.492363	-0.158437
59	0.384744	0.013828
60	0.743271	0.395988
61	0.546193	-5.682667
62	0.408096	-1.824927
63	0.934624	2.964107
64	0.715587	2.510333
65	1.058412	2.185778
66	0.617642	1.434375
67	0.48132	0.509668
68	1.021168	0.610018
69	0.687014	0.901248
70	0.83313	0.757661
71	0.633085	0.456956
72	0.286559	0.293885
73	0.189169	0.701769
74	0.614476	0.597825
75	0.187969	0.543772
76	0.52266	0.253608
77	0.061347	0.309643
78	0.369533	0.251411
79	0.269539	0.294852
80	0.668589	0.656997
81	0.319504	0.665515
82	0.684756	0.209139
83	0.748988	0.535996
84	0.773627	0.669996
85	0.770608	0.45966
86	0.470531	0.928585
87	0.542255	1.10834
88	0.550844	0.882029
89	0.625453	0.682028
90	0.879173	0.825953
91	0.713916	0.648214
92	0.680379	0.447166
93	0.763536	0.332971
94	0.834485	0.398948
95	0.786186	0.407066
96	0.817825	0.589176
97	0.16239	0.627619
98	0.292444	0.797094
99	0.392774	0.68308
100	0.799801	0.726422
101	0.676939	0.791489
102	0.66211	1.0382
103	0.790801	0.793682
104	0.712174	0.513056
105	0.676697	0.82293
106	0.715613	0.921979
107	0.931783	0.910714
108	0.594112	0.892903
109	0.427028	0.60945
110	0.544923	0.806615
111	0.437032	0.483574
112	0.834288	0.375999
113	0.592159	0.409633
114	0.429344	0.283243
115	0.488773	0.316649
116	0.972491	0.332178
117	0.678026	0.840651
118	0.372589	0.756144
119	0.223601	0.439155
120	0.856177	0.594184
121	0.758397	0.488868
122	0.790788	0.764601
123	0.660295	0.734744
124	0.739378	0.73084
125	0.682749	0.602124
126	0.449746	0.676541
127	1.020285	0.555713
128	0.851607	0.503413
129	0.661008	0.611671
130	0.886346	0.548363
131	0.610729	0.563781
132	0.473356	0.56762
133	0.434176	0.33813
134	0.217759	0.726305
135	0.952168	0.524786
136	1.093486	0.324841
137	0.336977	0.310313
138	0.257398	0.287608
139	0.385832	0.585032
140	0.361432	0.51973
141	0.413054	0.532098
142	0.745863	0.765132
143	0.750371	0.742304
144	0.726176	0.48871
145	0.895654	0.575166
146	0.213674	0.886865
147	0.852268	0.664635
148	0.883313	0.540341
149	0.251267	0.676593
150	0.422471	0.667895
151	0.447654	0.806901
152	0.269072	0.651715
153	0.802813	0.801239
154	0.763664	0.65054
155	0.322278	0.894913
156	0.576022	0.890945
157	0.712931	0.375078
158	0.998637	0.588559
159	0.598396	0.594788
160	0.770091	0.557048
161	0.286095	0.752333
162	0.212832	0.603535
163	0.834522	0.338303
164	0.759103	0.357257
165	0.37971	0.563886
166	0.459384	0.632394
167	0.728526	0.721944
168	1.022332	0.811587
169	0.90539	0.87173
170	0.819604	-0.058256
171	0.685246	0.459436
172	0.937758	0.492885
173	0.902734	0.431641
174	0.722107	0.957828
175	0.265489	0.564021
176	0.339405	0.657743
177	0.62637	0.464648
178	0.614993	0.751886
179	0.664976	0.586797
180	0.614316	0.63766
181	0.899805	0.906989
182	0.451468	0.720729
183	0.679061	0.873145
184	0.741312	0.523793
